Transaction_ID,Customer_ID,Card_Number,Transaction_Date,Transaction_Type,Amount,Currency,Merchant,Category,Installment_Count,Remaining_Installments
TXN980058,CUST0001,8611613955646179,2024-09-22,Ödeme,1615.09,TRY,IKEA,Elektronik,6,6
TXN974014,CUST0001,8611613955646179,2025-01-20,Satın Alma,1534.81,TRY,Walmart,Market,0,0
TXN562041,CUST0001,8611613955646179,2024-10-29,Para Çekme,3107.2,TRY,Spotify,Yemek,6,3
TXN201403,CUST0001,8611613955646179,2024-10-05,Para Çekme,534.62,TRY,Walmart,Faturalar,12,4
TXN261530,CUST0001,8611613955646179,2024-09-30,Para Çekme,4509.64,TRY,Starbucks,Elektronik,0,0
TXN200209,CUST0001,8611613955646179,2025-02-01,İade,1191.46,TRY,Starbucks,Market,6,6
TXN710870,CUST0001,8611613955646179,2025-02-03,Para Çekme,3002.83,TRY,Netflix,Yemek,6,0
TXN441279,CUST0001,8611613955646179,2025-01-19,Ödeme,2538.67,TRY,Netflix,Yemek,9,7
TXN201641,CUST0001,7547384844941929,2024-09-16,Para Çekme,1845.6,TRY,Apple Store,Elektronik,9,0
TXN283689,CUST0001,7547384844941929,2025-02-28,İade,270.92,TRY,Airbnb,Market,9,9
TXN409284,CUST0001,7547384844941929,2025-02-21,Satın Alma,505.73,TRY,Netflix,Alışveriş,0,0
TXN751435,CUST0001,7547384844941929,2024-11-11,Ödeme,3352.92,TRY,Amazon,Seyahat,6,0
TXN236626,CUST0001,7547384844941929,2024-11-03,Ödeme,4980.42,TRY,Spotify,Alışveriş,3,2
TXN955045,CUST0001,7547384844941929,2025-01-27,Ödeme,4786.57,TRY,Starbucks,Eğlence,6,4
TXN720970,CUST0001,7547384844941929,2024-11-23,İade,4097.53,TRY,Starbucks,Seyahat,12,8
TXN351509,CUST0001,1760004672059280,2024-11-08,Para Çekme,2563.25,TRY,Amazon,Market,3,1
TXN281503,CUST0001,1760004672059280,2024-10-03,Satın Alma,4839.26,TRY,Amazon,Eğlence,12,8
TXN596927,CUST0001,1760004672059280,2024-12-18,Satın Alma,966.47,TRY,Walmart,Elektronik,3,0
TXN230073,CUST0001,1760004672059280,2024-10-05,Para Çekme,2251.96,TRY,Starbucks,Elektronik,9,6
TXN174508,CUST0001,1760004672059280,2024-12-04,Ödeme,1082.62,TRY,Walmart,Elektronik,6,0
TXN485717,CUST0001,1760004672059280,2025-01-26,Para Çekme,1312.02,TRY,Netflix,Elektronik,3,2
TXN513483,CUST0001,1760004672059280,2024-10-13,Ödeme,3088.02,TRY,IKEA,Market,6,4
TXN431012,CUST0001,1760004672059280,2024-10-14,Satın Alma,3113.47,TRY,Starbucks,Elektronik,0,0
TXN265994,CUST0001,1760004672059280,2025-01-12,Satın Alma,195.94,TRY,Starbucks,Market,12,10
TXN337335,CUST0001,6996713488053909,2024-10-23,Para Çekme,3855.38,TRY,Netflix,Seyahat,6,5
TXN268469,CUST0001,6996713488053909,2024-11-01,Para Çekme,611.61,TRY,Apple Store,Seyahat,6,1
TXN370510,CUST0001,6996713488053909,2024-11-12,Ödeme,1355.86,TRY,Amazon,Alışveriş,0,0
TXN605499,CUST0001,6996713488053909,2025-01-15,Satın Alma,4347.43,TRY,IKEA,Market,6,3
TXN794814,CUST0001,6996713488053909,2024-12-01,Satın Alma,2931.64,TRY,Amazon,Market,0,0
TXN905550,CUST0001,6996713488053909,2025-02-01,Ödeme,4598.05,TRY,Apple Store,Alışveriş,9,8
TXN452871,CUST0001,6996713488053909,2024-10-03,Satın Alma,2298.3,TRY,Spotify,Faturalar,3,0
TXN457583,CUST0001,6996713488053909,2024-10-04,Satın Alma,1873.7,TRY,Uber,Yemek,12,0
TXN953857,CUST0001,6996713488053909,2024-11-13,Ödeme,1351.73,TRY,Uber,Elektronik,0,0
TXN997395,CUST0001,6996713488053909,2024-12-31,İade,3289.38,TRY,Apple Store,Alışveriş,3,3
TXN510713,CUST0001,6996713488053909,2024-10-15,Satın Alma,3504.0,TRY,Netflix,Alışveriş,6,3
TXN201589,CUST0001,6996713488053909,2024-09-18,Ödeme,3982.33,TRY,Spotify,Eğlence,0,0
TXN855708,CUST0001,6996713488053909,2024-10-06,Ödeme,1759.65,TRY,Apple Store,Elektronik,3,3
TXN320959,CUST0001,6996713488053909,2024-10-03,İade,3282.4,TRY,Starbucks,Market,0,0
TXN421822,CUST0001,6996713488053909,2025-02-21,İade,1240.47,TRY,Starbucks,Market,0,0
TXN647346,CUST0001,2707128363143517,2025-02-14,İade,1947.97,TRY,Walmart,Seyahat,12,3
TXN702271,CUST0001,2707128363143517,2025-03-07,Para Çekme,388.09,TRY,Spotify,Alışveriş,3,2
TXN459003,CUST0001,2707128363143517,2024-11-09,Para Çekme,1243.49,TRY,Airbnb,Eğlence,9,9
TXN514643,CUST0001,2707128363143517,2025-01-25,Para Çekme,3318.86,TRY,Netflix,Yemek,6,0
TXN912764,CUST0001,2707128363143517,2025-01-18,Satın Alma,3788.75,TRY,Netflix,Market,6,6
TXN429672,CUST0001,2707128363143517,2025-01-26,İade,3188.19,TRY,Uber,Seyahat,3,1
TXN246843,CUST0001,2707128363143517,2024-10-11,Ödeme,3888.46,TRY,Spotify,Eğlence,6,5
TXN823130,CUST0001,2707128363143517,2024-10-16,Satın Alma,3248.99,TRY,Starbucks,Faturalar,9,0
TXN553498,CUST0001,2707128363143517,2025-02-16,Satın Alma,2689.78,TRY,Airbnb,Eğlence,9,9
TXN757885,CUST0001,2707128363143517,2024-09-22,Satın Alma,3275.23,TRY,Amazon,Market,9,5
TXN618312,CUST0001,2707128363143517,2024-12-02,İade,338.07,TRY,IKEA,Market,3,1
TXN990967,CUST0001,2707128363143517,2025-01-04,Ödeme,1069.19,TRY,IKEA,Alışveriş,6,3
TXN976095,CUST0001,2707128363143517,2024-11-20,Para Çekme,4859.84,TRY,Starbucks,Yemek,3,3
TXN965434,CUST0001,2707128363143517,2025-03-05,İade,4462.58,TRY,Uber,Faturalar,0,0
TXN662487,CUST0001,2707128363143517,2025-02-15,Para Çekme,2687.5,TRY,Walmart,Faturalar,0,0
TXN660460,CUST0002,6010039710463767,2024-11-09,İade,2630.81,TRY,Airbnb,Market,6,2
TXN967153,CUST0002,6010039710463767,2024-11-13,Satın Alma,3986.97,TRY,Starbucks,Seyahat,12,11
TXN385192,CUST0002,6010039710463767,2024-12-13,Ödeme,1518.76,TRY,Airbnb,Eğlence,12,6
TXN848306,CUST0002,6010039710463767,2025-02-20,Ödeme,1906.22,TRY,Airbnb,Eğlence,12,2
TXN944671,CUST0002,6010039710463767,2024-12-24,Para Çekme,2890.81,TRY,Uber,Market,6,2
TXN147193,CUST0002,6010039710463767,2024-10-31,İade,2985.51,TRY,Airbnb,Market,12,2
TXN694224,CUST0002,6010039710463767,2024-12-27,İade,1575.85,TRY,Walmart,Yemek,0,0
TXN556585,CUST0002,6010039710463767,2024-10-09,Para Çekme,666.65,TRY,Walmart,Faturalar,12,5
TXN509917,CUST0002,6010039710463767,2025-01-14,Ödeme,190.96,TRY,Spotify,Alışveriş,3,3
TXN172142,CUST0002,6010039710463767,2024-12-01,Para Çekme,492.85,TRY,Airbnb,Elektronik,12,4
TXN510299,CUST0002,6010039710463767,2025-03-08,Para Çekme,1295.35,TRY,Netflix,Alışveriş,0,0
TXN942090,CUST0002,6010039710463767,2025-01-02,Para Çekme,4078.63,TRY,Walmart,Seyahat,12,12
