Customer_ID,Card_Number,Card_Type,Credit_Limit,Current_Debt,Statement_Debt,Statement_Due_Date,Online_Shopping_Enabled,QRCode_Payment_Enabled,Statement_Preference,Account_Number,Account_Type,Balance
CUST0001,8611613955646179,Kredi Kartı,37491,10946,4715,11-4-2025,No,Yes,Mail,8694788652,Döviz Hesabı,0
CUST0001,7547384844941929,Banka Kartı,0,0,0,9-10-2025,No,No,SMS,4293610444,Altın Hesap,82742
CUST0001,1760004672059280,Kredi Kartı,26760,13568,11645,1-8-2025,No,Yes,SMS,7313390705,Altın Hesap,0
CUST0001,6996713488053909,Banka Kartı,0,0,0,12-4-2025,No,Yes,SMS,9168825589,Döviz Hesabı,45672
CUST0001,2707128363143517,Platinum,17921,16295,2871,5-5-2025,Yes,No,SMS,7262951280,Vadeli,0
CUST0002,6010039710463767,Platinum,49410,14,13,27-7-2025,No,No,Mail,2429454150,Yatırım Hesabı,0
CUST0002,2599674682234109,Banka Kartı,0,0,0,1-2-2025,No,Yes,Mail,2382668548,Vadeli,83769
CUST0002,8876597676761482,Kredi Kartı,36784,8016,2554,10-8-2025,Yes,No,SMS,2075856166,Altın Hesap,0
CUST0002,7163550680459220,Banka Kartı,0,0,0,23-9-2025,No,Yes,SMS,4717037199,Döviz Hesabı,89189
CUST0002,2758232752130145,First Kart,17439,14054,10628,4-8-2025,No,No,SMS,6531212097,Vadeli,0
CUST0003,3661010139138957,First Kart,37519,21861,6761,14-4-2025,Yes,Yes,SMS,4533103553,Vadesiz,0
CUST0003,4995458514802714,Banka Kartı,0,0,0,25-6-2025,Yes,Yes,SMS,9637277666,Altın Hesap,40199
CUST0003,9487131481917086,Kredi Kartı,27141,15754,1327,27-2-2025,Yes,No,Mail,3266205903,Vadesiz,0
CUST0003,4453313807672006,Ek Kart,0,0,0,1-4-2025,No,Yes,SMS,8500060021,Altın Hesap,68936
CUST0003,6272839393081539,First Kart,35780,32353,31129,26-2-2025,Yes,No,Mail,3575874605,Döviz Hesabı,0
CUST0004,7725717634305692,Kredi Kartı,11431,5768,4204,3-8-2025,Yes,No,SMS,1997211980,Döviz Hesabı,0
CUST0004,9641107344193305,Banka Kartı,0,0,0,6-7-2025,Yes,No,Mail,2304781915,Altın Hesap,9467
CUST0004,2591839097222232,First Kart,19406,3420,63,22-5-2025,No,No,SMS,6881069624,Yatırım Hesabı,0
CUST0004,1792900707995124,Ek Kart,0,0,0,15-10-2025,Yes,Yes,Mail,5559001762,Vadeli,82673
CUST0004,4602763060993585,Platinum,16934,7389,5560,19-2-2025,Yes,Yes,SMS,8585099603,Altın Hesap,0
CUST0005,1699090411842566,First Kart,31696,8031,2162,5-11-2025,Yes,Yes,Mail,7488665148,Vadesiz,0
CUST0005,8034224731375534,Ek Kart,0,0,0,18-10-2025,Yes,No,Mail,4901073707,Altın Hesap,9003
CUST0005,4224568409073573,Kredi Kartı,9256,3069,2260,9-6-2025,No,Yes,SMS,5188351379,Döviz Hesabı,0
CUST0005,5743906008372029,Banka Kartı,0,0,0,23-10-2025,Yes,Yes,Mail,4064052911,Döviz Hesabı,94749
CUST0005,9839547165274916,Kredi Kartı,17729,844,217,11-6-2025,Yes,Yes,Mail,1690207706,Altın Hesap,0
CUST0006,6378062115206867,Kredi Kartı,37960,9977,6229,15-7-2025,Yes,Yes,SMS,1383060259,Altın Hesap,0
CUST0006,6039788579741440,Banka Kartı,0,0,0,20-1-2025,Yes,No,Mail,2003981685,Altın Hesap,88286
CUST0006,7909361420287462,Kredi Kartı,39168,29209,18238,16-8-2025,No,No,Mail,1223595212,Vadeli,0
CUST0006,6109419882127555,Banka Kartı,0,0,0,6-11-2025,Yes,No,SMS,9658536953,Yatırım Hesabı,68352
CUST0006,1911371505113074,First Kart,47678,32519,28428,1-2-2025,No,Yes,SMS,6558342598,Vadeli,0
CUST0007,2299407941659131,First Kart,37316,9607,5896,1-5-2025,Yes,Yes,SMS,8596621264,Yatırım Hesabı,0
CUST0007,7086306978569575,Ek Kart,0,0,0,8-8-2025,No,Yes,Mail,8386017272,Döviz Hesabı,1924
CUST0007,8221157793424997,Kredi Kartı,6564,4151,2542,11-7-2025,No,Yes,SMS,6867712002,Yatırım Hesabı,0
CUST0007,2290986030870808,Banka Kartı,0,0,0,16-7-2025,Yes,Yes,Mail,8819828891,Döviz Hesabı,50659
CUST0007,3383989697006497,Kredi Kartı,10431,4595,1198,4-6-2025,No,No,Mail,2692578353,Vadesiz,0
CUST0008,9090026662764919,Kredi Kartı,40141,10815,10692,5-10-2025,Yes,Yes,SMS,1883759534,Döviz Hesabı,0
CUST0008,7800090650073275,Banka Kartı,0,0,0,17-2-2025,No,No,Mail,8505059572,Vadeli,61497
CUST0008,7908695671192641,First Kart,39136,38755,26214,19-10-2025,Yes,No,SMS,7309864659,Altın Hesap,0
CUST0008,2269767524055842,Banka Kartı,0,0,0,25-6-2025,No,Yes,SMS,2993223601,Döviz Hesabı,30217
CUST0008,2292732465205972,First Kart,33065,29995,14549,6-6-2025,No,Yes,Mail,4447925465,Yatırım Hesabı,0
CUST0009,5719598269041479,Platinum,15002,8319,3254,18-5-2025,Yes,Yes,Mail,8917845149,Döviz Hesabı,0
CUST0009,6177515313088943,Banka Kartı,0,0,0,6-1-2025,No,Yes,SMS,4207129579,Döviz Hesabı,23526
CUST0009,7012841635461498,First Kart,21492,9452,6703,10-3-2025,Yes,Yes,SMS,7855188656,Altın Hesap,0
CUST0009,3851342201784451,Banka Kartı,0,0,0,1-7-2025,Yes,Yes,SMS,4894722441,Altın Hesap,39809
CUST0009,6354081687936806,Kredi Kartı,17756,8733,59,7-2-2025,No,No,Mail,2269601491,Döviz Hesabı,0
CUST0010,2271629001041315,Platinum,44939,13448,9495,6-3-2025,No,Yes,Mail,4900531504,Altın Hesap,0
CUST0010,5179017894113054,Ek Kart,0,0,0,17-8-2025,Yes,Yes,SMS,8765132476,Vadeli,79194
CUST0010,8026209636404314,Kredi Kartı,8614,3497,2160,15-6-2025,No,Yes,Mail,1071783038,Döviz Hesabı,0
CUST0010,2896758419810723,Ek Kart,0,0,0,26-10-2025,Yes,Yes,SMS,9969008816,Altın Hesap,10783
CUST0010,1702948473482732,Platinum,29467,7811,2008,19-7-2025,No,Yes,Mail,1640570642,Döviz Hesabı,0
